country,period,flood_impact,drought_impact,storms_impact,extreme_temp_impact,climate_impact_index,impact_rebased,hazard_count,total_deaths,total_affected,resilience_rate,resilience_per_100k,economic_damage_pct_gdp
Afghanistan,1965,,-0.0695355996168937,,,-0.0695355996168937,2.500122986310111,1,0.0,48000.0,0.0,0.0,0.0
Afghanistan,1970,,-1.6614444899485823,,,-1.6614444899485823,0.9082140959784224,1,150.0,250000.0,0.0006,59.99999999999999,0.0
Afghanistan,1975,1.4575119544602648,,,,1.4575119544602648,4.027170540387269,1,171.0,351684.0,0.0004862319582352339,48.62319582352339,0.0
Afghanistan,1990,4.003976196333884,,-1.4660661233747716,0.1305121394061655,0.8894740707884261,3.459132656715431,3,2027.0,143600.0,0.014115598885793872,1411.5598885793872,0.0
Afghanistan,1995,-0.578217256386559,,,,-0.578217256386559,1.9914413295404456,1,197.0,38905.0,0.0050636165017349955,506.3616501734995,0.0
Afghanistan,2000,-0.712862765028838,0.5695288383209629,,3.357964418914397,1.071543497402174,3.641202083329179,3,597.0,2793798.0,0.0002136876037566066,21.36876037566066,0.0002863982277777778
Afghanistan,2005,0.4711536601231768,0.5273285141527235,0.196207755011375,3.261712019301598,1.1141004871472182,3.683759073074223,4,2599.0,2518584.0,0.001031929052197584,103.19290521975839,0.018129378124999998
Afghanistan,2010,0.5410700421562419,0.6150527453414616,-1.4001758505866964,-0.7398959015383786,-0.2459872411568429,2.323671344770162,4,1100.0,2018185.0,0.0005450441857411487,54.504418574114865,0.20011290980000002
Afghanistan,2015,-0.3421571262676534,0.906295174547918,-0.3499564057252707,,0.0713938808516646,2.6410524667786692,3,466.0,13648829.0,3.4142123108143565e-05,3.4142123108143565,0.0
Afghanistan,2020,1.0667235460682425,0.724496534421508,-0.5816047353968519,2.9321438632980112,1.0354398020977276,3.605098388024732,4,2979.0,12120852.0,0.0002457748019693665,24.577480196936648,0.0
Africa,1900,,-0.3252736325105265,,,-0.3252736325105265,2.2443849534164784,1,11000.0,0.0,0.0,0.0,0.0
Africa,1905,,-1.6614444899485823,,,-1.6614444899485823,0.9082140959784224,1,0.0,0.0,0.0,0.0,0.0
Africa,1910,,0.9003924240624921,,,0.9003924240624921,3.470051009989497,1,85000.0,32000.0,2.65625,265625.0,0.0
Africa,1920,,0.6968690975975422,,,0.6968690975975422,3.266527683524547,1,24000.0,0.0,0.0,0.0,0.0
Africa,1940,,-0.7432021269267779,,,-0.7432021269267779,1.8264564590002268,1,20000.0,0.0,0.0,0.0,0.0
Africa,1945,,0.6037647113733839,-1.457782890827179,,-0.4270090897268975,2.1426494962001073,2,30165.0,0.0,0.0,0.0,0.0
Africa,1950,-2.5674353429384733,,-1.4189586588536431,,-1.9931970008960584,0.5764615850309465,2,721.0,0.0,0.0,0.0,0.0
Africa,1955,,,-1.492144429842771,,-1.492144429842771,1.0775141560842336,1,158.0,0.0,0.0,0.0,0.0
Africa,1960,-1.4503128014729394,-0.2285701412381359,-1.5197450322307688,,-1.0662093249806146,1.50344926094639,3,626.0,835310.0,0.0007494223701380326,74.94223701380325,0.0
Africa,1965,-0.8611425486454364,-0.0938024748755491,-0.7888361484629232,,-0.5812603906613029,1.988398195265702,3,2919.0,5517587.0,0.0005290356092255546,52.903560922555464,0.0
Africa,1970,-0.3238905059117062,0.4050818141791053,0.2629215181614768,,0.1147042754762919,2.684362861403297,3,22964.0,10447113.0,0.002198119231600156,219.8119231600156,0.0
Africa,1975,-0.6559691482682624,1.4363194054120711,-0.194599652858201,,0.1952502014285359,2.7649087873555405,3,97779.0,16912236.0,0.005781553663276695,578.1553663276695,0.0
Africa,1980,-0.6697931572863658,2.749300303539716,-0.2064805281297295,,0.6243422060412069,3.194000791968212,3,479315.0,50118387.0,0.009563655749735122,956.3655749735123,0.0
Africa,1985,-0.2028674909532851,1.2782478042246814,-0.825444540068262,,0.0833119244010448,2.6529705103280494,3,78242.0,38840859.0,0.002014425067169601,201.44250671696008,0.0
Africa,1990,-0.3563501969651648,0.2341508832492074,-0.054967862766002,0.9414743907637184,0.1910768035704397,2.7607353894974445,4,2755.0,54910540.0,5.017251697033029e-05,5.0172516970330285,0.0
Africa,1995,0.0854261893714274,-0.1167159284176251,-0.497661982691033,-1.0062972759719568,-0.3838122494272969,2.185846336499708,4,5954.0,24976409.0,0.00023838494957381583,23.838494957381585,0.0
Africa,2000,0.0392519028471154,0.3405843810658032,-0.212103317230347,-1.0067417603634832,-0.2097521984202278,2.359906387506777,4,5802.0,100497400.0,5.7732836869411547e-05,5.773283686941155,0.0
Africa,2005,-0.0639560903775643,0.1876398324052418,-0.4970074598094763,-1.010868998879808,-0.3460481791654016,2.223610406761603,4,4522.0,70388415.0,6.424352643826402e-05,6.424352643826402,0.0
Africa,2010,0.0662222572896462,0.4527676728988557,-0.5883370782321442,-0.7858405345905497,-0.213796920658548,2.3558616652684568,4,24193.0,85529136.0,0.00028286267266864473,28.286267266864474,0.0
Africa,2015,-0.1376163006830203,0.1673518525695849,-0.0876319687110868,0.6785464958359675,0.1551625197528613,2.724821105679866,4,6098.0,91486751.0,6.665446016330823e-05,6.665446016330823,0.0
Africa,2020,0.4528620248105948,0.4391800473058525,0.172376030018405,-1.0119810798304627,0.0131092555760974,2.5827678415031023,4,28659.0,249981143.0,0.00011464464741646532,11.464464741646532,0.0
Africa,2025,,-0.2078154477458466,-0.3190217489361984,,-0.2634185983410225,2.306239987585982,2,961.0,5624709.0,0.00017085328325429814,17.085328325429813,0.0
